,English words/sentences,French words/sentences
0,go,ve
1,go,vete
2,go,vaya
3,go,vayase
4,hi,hola
5,run,corre
6,run,corred
7,who,quien
8,wow,orale
9,fire,fuego
10,fire,incendio
11,fire,disparad
12,help,ayuda
13,help,socorro auxilio
14,help,auxilio
15,jump,salta
16,jump,salte
17,stop,parad
18,stop,para
19,stop,pare
20,wait,espera
21,wait,esperen
22,go on,continua
23,go on,continue
24,hello,hola
25,i ran,corri
26,i ran,corria
27,i try,lo intento
28,i won,he ganado
29,oh no,oh no
30,relax,tomatelo con soda
31,smile,sonrie
32,attack,al ataque
33,attack,atacad
34,get up,levanta
35,go now,ve ahora mismo
36,got it,lo tengo
37,got it,lo pillas
38,got it,entendiste
39,he ran,el corrio
40,hop in,metete adentro
41,hug me,abrazame
42,i fell,me cai
43,i know,yo lo se
44,i left,sali
45,i lied,menti
46,i lost,perdi
47,i quit,dimito
48,i quit,renuncie
49,i sang,cante
50,i work,estoy trabajando
51,im,tengo diecinueve
52,im up,estoy levantado
53,listen,escucha
54,listen,escuche
55,listen,escuchen
56,no way,no puede ser
57,no way,de ninguna manera
58,no way,de ninguna manera
59,no way,imposible
60,no way,de ningun modo
61,no way,de eso nada
62,no way,ni cagando
63,no way,mangos
64,no way,minga
65,no way,ni en pedo
66,really,en serio
67,really,la verdad
68,thanks,gracias
69,thanks,gracias
70,try it,pruebalo
71,we try,lo procuramos
72,we won,ganamos
73,why me,por que yo
74,ask tom,preguntale a tom
75,awesome,orale
76,be calm,mantente en calma
77,be cool,estate tranquilo
78,be fair,se justo
79,be kind,sean gentiles
80,be nice,se agradable
81,beat it,pirate
82,call me,llamame
83,call me,llamadme
84,call me,llamame
85,call us,llamanos
86,come in,entre
87,come in,pase
88,come in,entren
89,come on,orale
90,come on,andale
91,come on,orale
92,drop it,sueltalo
93,get tom,agarra a tom
94,get out,bajate
95,get out,salte
96,get out,sal
97,get out,sali
98,get out,salid
99,get out,salgan
100,go away,vete de aqui
101,go away,largate
102,go away,salga de aqui
103,go away,largo
104,go away,vete ya
105,go away,orale
106,go away,a la calle
107,go away,vete de aqui
108,go away,largate
109,go away,largo
110,go away,vete ya
111,go away,orale
112,go away,larguese
113,go away,vayase
114,go home,vete a casa
115,go slow,vaya despacio
116,goodbye,hasta luego
117,goodbye,hasta la vista
118,goodbye,chau
119,hang on,espera
120,hang on,espera un momento
121,hang on,un segundo
122,hang on,agarra fuertemente
123,he came,el vino
124,he quit,el renuncio
125,help me,ayudame
126,help me,ayudame
127,help me,echame una mano
128,help me,ayudame
129,help us,ayudanos
130,hit tom,golpea a tom
131,hold it,espera
132,hold on,resista
133,hold on,resiste
134,hold on,agarra fuertemente
135,hug tom,abraza a tom
136,i agree,estoy de acuerdo
137,i agree,de acuerdo
138,i bowed,me incline
139,i moved,me he mudado
140,i moved,me mude
141,i moved,me traslade
142,i moved,me he trasladado
143,i slept,dormi
144,i tried,lo intente
145,ill go,ire
146,im tom,soy tom
147,im fat,estoy gordo
148,im fat,soy gorda
149,im fit,estoy en forma
150,im hit,estoy afectado
151,im old,soy viejo
152,im shy,soy timido
153,im wet,estoy mojada
154,its ok,esta bien
155,its me,soy yo
156,its me,soy yo
157,join us,unete a nosotros
158,join us,se parte nuestra
159,keep it,guardalo
160,me too,yo tambien
161,open up,abre
162,perfect,perfecto
163,see you,nos vemos
164,show me,muestramelo
165,show me,ensenamelo
166,show me,mostrame
167,shut up,cierra la boca
168,shut up,cerra el pico
169,skip it,saltatelo
170,so long,hasta la vista
171,so long,hasta luego
172,stop it,paralo
173,stop it,detenlo
174,take it,cogelo
175,tell me,decime
176,tom ate,tom comio
177,tom ran,tom corrio
178,tom won,tom gano
179,wait up,esperame despierto
180,wake up,despierta
181,wake up,despiertate
182,wake up,despertate
183,wake up,despierta
184,wash up,lavate las manos
